Focus,string,url,canvas_id,manifest_id
Full,"This painting, titled Baptismal Ceremony, was painted by Amico Aspertini between 1515 and 1520. It depicts the baptism of St. Augustine by St. Ambrose, Bishop of Milan, in 387 CE.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//0,0,4383,3687/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
St. Augustine,"St. Augustine kneels before the baptismal font, with his hands in a prayer position. ","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//1085,2104,1359,1403/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Augustine, clothing","He wears a white cloth to represent the purity of life after baptism: past sins are forgotten, and the baptized person is now born again without sin.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//1414,2690,641,526/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Ambrose, Bishop of Milan",St. Ambrose wears his full regalia as he presides over St. Augustine's baptism. ,"https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2131,1151,986,1605/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Ambrose, Mitre","He wears a mitre on his head, a traditional headdress of Catholic bishops.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2372,1167,400,373/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Ambrose, Clothing","The baptism occurred during Easter, the time when the liturgical color is white, so St. Ambrose dons white robes with an intricate gold cloak.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2345,1605,663,915/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Ambrose, Staff","He also carries a crozier staff which mimics a pastoral staff, a common Catholic staff design which alludes to the depiction of Christ as the Good Shepherd.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2767,1249,351,882/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
St. Monica,"St. Monica accompanies her son St. Augustine. Monica greatly influenced Augustine's religious experience, hence her presence at his baptism. ","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//1737,1200,679,1118/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Monica, Clothing","Artists often depict her in blue, a color usually associated with the Virgin Mary. Blue is also a sorrowful color, which reflects Monica's tumultuous life.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//1715,1556,718,701/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"St. Monica, bible","She reads from an open book, likely the Bible. ","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2076,1616,345,351/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
Jesus,"Jesus appears as a child, alluding to a well-known story of St. Augustine meeting a child on a beach in Genoese archbishop Jacobus de Voragine's Golden Legend, a 13th-century text.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2268,2635,636,899/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"Jesus, clothing","Jesus, like Augustine and Ambrose, wears white. This symbolizes the innocence and purity of the Christ child, similar to the purity one receives after their baptism. ","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2460,2833,334,394/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"Jesus, nimbus","Artistic depictions of Jesus usually include a gold nimbus, or halo. This is omitted here, but the pattern on Ambrose's robes behind the child mimic the shape of a nimbus.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2378,2449,466,548/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
Background,The baptism is set in a large room with an open view of the landscape beyond daisy carved vaulted arches. ,"https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//0,0,4383,1293/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"Background, Daisy","Daisies symbolize innocence and chastity in Christianity, which aligns with the tenants of a baptism.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//2767,0,290,679/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
"Background, Landscape","Aspertini imagines a fictional landscape, rather than depicting a naturalistic rendering of Volterra, a city southwest of Florence, a common practice by Renaissance artists.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//455,531,3594,723/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
Possibility of Separation,"Under closer examination, one figure's face is not fully seen in this view. This suggests that this scene may be part of a larger painting.","https://kress.iiifhosting.com/iiif/6c66953c497fdf2dcbd83e46356988dd937b8565ca5066380eb56670113eaae0//0,964,290,1797/800,/0/default.jpg",http://7e5e2ee0-aecb-410f-874c-5738e37280fd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
Before conservation,"Before conservation, the painting's discoloration illustrates what happens to varnished paintings over time.","https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0648P.tif/0,0,4352,3705/800,/0/default.jpg",http://4cb15f65-9c32-4644-b70a-74080d6d98dd,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
Framed view,"The painting's original frame while owned by Samuel Kress is quite ornate, but he had a new frame constructed before he donated it to what would become the Vanderbilt Fine Arts Gallery.","https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0648P_fake_url.TIF/0,0,4351,3705/800,/0/default.jpg",http://1d5300bd-caa0-4329-843b-e10a025ec8ad,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
Kress apartment 1,"The painting hung in the apartment of Samuel H. Kress before it was donated to the George Peabody College for Teachers in 1961. Samuel H. Kress was a prolific businessman in the late 19th and early 20th centuries. He spent much of his fortune of works of art, which were donated to institutions across the United States. Vanderbilt University now owns 12 works from his collection.","https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0648P_fake_url.TIF/0,0,3122,2493/800,/0/default.jpg",http://ad4e1082-0b8b-41e0-bbf2-302024adb164,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
Kress apartment 2,Another view of the painting hanging in the Kress Apartment.,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1979%2F1979.0648P_fake_url.TIF/0,0,3113,2522/800,/0/default.jpg",http://b8f2ee88-dbbd-4128-a8df-4fee4a091b9c,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0648P.json
